scientific_name,count,common_name,tree_genus,tree_family,tree_order,avg_height,avg_diameter
Fraxinus pennsylvanica,21452,Green ash,Fraxinus,Oleaceae,Lamiales,142.0,30.74
Acer platanoides,5704,Norway maple,Acer,Sapindaceae,Sapindales,100.7,33.48
Acer freemanii,4933,Freeman maple,Acer,Sapindaceae,Sapindales,84.22,16.6
Acer saccharinum,4327,Silver maple,Acer,Sapindaceae,Sapindales,154.47,52.17
Tilia cordata,3097,Littleleaf linden,Tilia,Malvaceae,Malvales,107.87,27.93
Gleditsia triacanthos,2332,Honeylocust,Gleditsia,Fabaceae,Fabales,90.95,28.15
Celtis occidentalis,1600,Common hackberry,Celtis,Cannabaceae,Rosales,94.87,25.37
Picea pungens,1290,Blue spruce,Picea,Pinaceae,Pinales,91.13,22.1
Acer saccharum,1274,Sugar maple,Acer,Sapindaceae,Sapindales,93.8,26.35
Malus,1220,Crabapple,Malus,Rosaceae,Rosales,46.72,14.82
