state,abundance,postal
California,1806085,CA
New York,787349,NY
Colorado,354878,CO
Texas,264285,TX
Oregon,216751,OR
Minnesota,176834,MN
District of Columbia,175847,DC
Washington,164903,WA
Ohio,140876,OH
Wisconsin,127623,WI
Florida,124208,FL
Maryland,121279,MD
Louisiana,105786,LA
Indiana,97227,IN
Michigan,92023,MI
Missouri,83533,MO
South Dakota,61304,SD
Kansas,44767,KS
Pennsylvania,42079,PA
Georgia,41175,GA
Kentucky,32711,KY
Nevada,32006,NV
Rhode Island,24082,RI
North Carolina,22586,NC
Massachusetts,16735,MA
Iowa,15805,IA
Hawaii,15150,HI
Tennessee,10411,TN
Oklahoma,8871,OK
New Mexico,2485,NM
Virginia,1815,VA
New Jersey,774,NJ
Arizona,214,AZ
