scientific_name,count,common_name,avg_height
Acer rubrum,8575,Red maple,85.73
Fraxinus pennsylvanica,7761,Green ash,139.65
Pyrus calleryana,7210,Callery pear,81.55
Quercus palustris,6503,Pin oak,104.89
Fraxinus americana,4557,White ash,106.68
Acer saccharum,4172,Sugar maple,90.81
Tilia cordata,3682,Littleleaf linden,105.47
Acer saccharinum,3115,Silver maple,153.6
Gleditsia triacanthos,3013,Honeylocust,89.98
Cercis canadensis,2886,Eastern redbud,30.24
